year,reporter,hs_code,value_usd,qty,qty_unit,value_billions,hs_category
2005,China,61,30870774521,NA,N/A,30.870774521,Knit
2006,China,61,44900426797,NA,N/A,44.900426797,Knit
2007,China,61,61509357557,NA,N/A,61.509357557,Knit
2008,China,61,60877450358,NA,N/A,60.877450358,Knit
2009,China,61,53762968918,NA,N/A,53.762968918,Knit
2010,China,61,66710933331,NA,N/A,66.710933331,Knit
2011,China,61,80164561226,NA,N/A,80.164561226,Knit
2012,China,61,87045225061,NA,N/A,87.045225061,Knit
2013,China,61,96792726986,NA,N/A,96.792726986,Knit
2014,China,61,91991730096,NA,N/A,91.991730096,Knit
2015,China,61,83786271223,0,N/A,83.786271223,Knit
2016,China,61,74413440500,0,N/A,74.4134405,Knit
2017,China,61,71823612990,0,N/A,71.82361299,Knit
2018,China,61,73411651830,0,N/A,73.41165183,Knit
2019,China,61,71352803266,0,N/A,71.352803266,Knit
2020,China,61,62227840881,0,N/A,62.227840881,Knit
2021,China,61,85155932577,0,N/A,85.155932577,Knit
2022,China,61,90942323926,0,N/A,90.942323926,Knit
2023,China,61,82310721188,0,N/A,82.310721188,Knit
2024,China,61,85263543484,0,N/A,85.263543484,Knit
2005,China,62,35030827904,NA,N/A,35.030827904,Woven
2006,China,62,43720321656,NA,N/A,43.720321656,Woven
2007,China,62,47371751680,NA,N/A,47.37175168,Woven
2008,China,62,52490143015,NA,N/A,52.490143015,Woven
2009,China,62,46716320542,NA,N/A,46.716320542,Woven
2010,China,62,54361477978,NA,N/A,54.361477978,Woven
2011,China,62,63073873395,NA,N/A,63.073873395,Woven
2012,China,62,61224359527,NA,N/A,61.224359527,Woven
2013,China,62,68251873806,NA,N/A,68.251873806,Woven
2014,China,62,81445115755,NA,N/A,81.445115755,Woven
2015,China,62,78439918318,0,N/A,78.439918318,Woven
2016,China,62,72064923620,0,N/A,72.06492362,Woven
2017,China,62,73408647525,0,N/A,73.408647525,Woven
2018,China,62,71322796649,0,N/A,71.322796649,Woven
2019,China,62,66663157206,0,N/A,66.663157206,Woven
2020,China,62,62275543949,0,N/A,62.275543949,Woven
2021,China,62,68397091380,0,N/A,68.39709138,Woven
2022,China,62,76874393698,0,N/A,76.874393698,Woven
2023,China,62,70176718861,0,N/A,70.176718861,Woven
2024,China,62,67764396655,0,N/A,67.764396655,Woven
2005,Bangladesh,61,3346925339,NA,N/A,3.3469253390000002,Knit
2006,Bangladesh,61,4072097406,NA,N/A,4.072097406,Knit
2007,Bangladesh,61,4734698171,NA,N/A,4.734698171,Knit
2008,Bangladesh,61,6299690509,NA,N/A,6.299690509,Knit
2009,Bangladesh,61,6470641883,NA,N/A,6.470641883,Knit
2010,Bangladesh,61,7785527632,NA,N/A,7.785527632,Knit
2011,Bangladesh,61,9936304901,NA,N/A,9.936304901,Knit
2012,Bangladesh,61,9421033677,NA,N/A,9.421033677,Knit
2013,Bangladesh,61,9567937877,NA,N/A,9.567937877,Knit
2015,Bangladesh,61,12767099522,NA,N/A,12.767099522,Knit
2016,Bangladesh,61,13735477885.446,0,N/A,13.735477885445999,Knit
2017,Bangladesh,61,15954125327.711,0,N/A,15.954125327711001,Knit
2018,Bangladesh,61,16249418632.868,0,N/A,16.249418632868,Knit
2005,Bangladesh,62,3498608848,NA,N/A,3.498608848,Woven
2006,Bangladesh,62,4179923628,NA,N/A,4.179923628,Woven
2007,Bangladesh,62,4588550374,NA,N/A,4.588550374,Woven
2008,Bangladesh,62,5649460604,NA,N/A,5.649460604,Woven
2009,Bangladesh,62,5811372699,NA,N/A,5.811372699,Woven
2010,Bangladesh,62,7059025061,NA,N/A,7.059025061,Woven
2011,Bangladesh,62,9225733521,NA,N/A,9.225733521,Woven
2012,Bangladesh,62,9850163837,NA,N/A,9.850163837,Woven
2013,Bangladesh,62,9999795331,NA,N/A,9.999795331,Woven
2015,Bangladesh,62,13765225603,NA,N/A,13.765225603,Woven
2016,Bangladesh,62,14927088619.131,0,N/A,14.927088619131,Woven
2017,Bangladesh,62,16028022377.21,0,N/A,16.02802237721,Woven
2018,Bangladesh,62,16649907827.233,0,N/A,16.649907827233,Woven
2005,Viet Nam,61,1720275440,NA,N/A,1.72027544,Knit
2006,Viet Nam,61,2031765501,NA,N/A,2.031765501,Knit
2007,Viet Nam,61,3035133733,NA,N/A,3.035133733,Knit
2008,Viet Nam,61,3894277845,NA,N/A,3.894277845,Knit
2009,Viet Nam,61,3974682501,NA,N/A,3.974682501,Knit
2010,Viet Nam,61,4899446102,NA,N/A,4.899446102,Knit
2011,Viet Nam,61,5909829834,NA,N/A,5.909829834,Knit
2012,Viet Nam,61,6639952750,NA,N/A,6.63995275,Knit
2013,Viet Nam,61,7916530741,NA,N/A,7.916530741,Knit
2014,Viet Nam,61,9180767693,NA,N/A,9.180767693,Knit
2015,Viet Nam,61,10111020292,NA,N/A,10.111020292,Knit
2016,Viet Nam,61,10801483624.55,0,N/A,10.801483624549999,Knit
2017,Viet Nam,61,12058645101.9,0,N/A,12.0586451019,Knit
2018,Viet Nam,61,13850362031.34,0,N/A,13.85036203134,Knit
2019,Viet Nam,61,14884923364.13,0,N/A,14.88492336413,Knit
2020,Viet Nam,61,13700826898.826,0,N/A,13.700826898826,Knit
2021,Viet Nam,61,15734486761.805,0,N/A,15.734486761805,Knit
2022,Viet Nam,61,17320344735.458,0,N/A,17.320344735458,Knit
2023,Viet Nam,61,14763153535.708,0,N/A,14.763153535708,Knit
2005,Viet Nam,62,2837741253,NA,N/A,2.837741253,Woven
2006,Viet Nam,62,3385355895,NA,N/A,3.385355895,Woven
2007,Viet Nam,62,4168866520,NA,N/A,4.16886652,Woven
2008,Viet Nam,62,4605472541,NA,N/A,4.605472541,Woven
2009,Viet Nam,62,4354375392,NA,N/A,4.354375392,Woven
2010,Viet Nam,62,5219490673,NA,N/A,5.219490673,Woven
2011,Viet Nam,62,6910221682,NA,N/A,6.910221682,Woven
2012,Viet Nam,62,7438868696,NA,N/A,7.438868696,Woven
2013,Viet Nam,62,8828950309,NA,N/A,8.828950309,Woven
2014,Viet Nam,62,10518409798,NA,N/A,10.518409798,Woven
2015,Viet Nam,62,11323162550,NA,N/A,11.32316255,Woven
2016,Viet Nam,62,11608485853.09,0,N/A,11.60848585309,Woven
2017,Viet Nam,62,12337234686.3,0,N/A,12.337234686299999,Woven
2018,Viet Nam,62,14301297560.08,0,N/A,14.30129756008,Woven
2019,Viet Nam,62,15153097798.39,0,N/A,15.15309779839,Woven
2020,Viet Nam,62,13329805832.766,0,N/A,13.329805832766,Woven
2021,Viet Nam,62,13659989827.092,0,N/A,13.659989827092,Woven
2022,Viet Nam,62,16693637657.745,0,N/A,16.693637657745,Woven
2023,Viet Nam,62,15315313547.22,0,N/A,15.315313547219999,Woven
2005,India,61,3124753929,NA,N/A,3.124753929,Knit
2006,India,61,3576970281,NA,N/A,3.576970281,Knit
2007,India,61,4129436730,NA,N/A,4.12943673,Knit
2008,India,61,4381111325,NA,N/A,4.381111325,Knit
2009,India,61,5187318731,NA,N/A,5.187318731,Knit
2010,India,61,4566024827,NA,N/A,4.566024827,Knit
2011,India,61,5807252397,NA,N/A,5.807252397,Knit
2012,India,61,5466346913,NA,N/A,5.466346913,Knit
2013,India,61,6959256941,NA,N/A,6.959256941,Knit
2014,India,61,7482487430,NA,N/A,7.48248743,Knit
2015,India,61,7781249140,NA,N/A,7.78124914,Knit
2016,India,61,7910076151,NA,N/A,7.910076151,Knit
2017,India,61,8347736721.819,0,N/A,8.347736721819,Knit
2018,India,61,7564780995.127,0,N/A,7.564780995127,Knit
2019,India,61,7879612139.863,0,N/A,7.879612139863,Knit
2020,India,61,6120311449.326,0,N/A,6.1203114493260005,Knit
2021,India,61,7870323034.401,0,N/A,7.870323034401,Knit
2022,India,61,8203849778.837,0,N/A,8.203849778837,Knit
2023,India,61,6662122700.291,0,N/A,6.662122700291,Knit
2024,India,61,7409129831.998,0,N/A,7.409129831998,Knit
2005,India,62,5075898914,NA,N/A,5.075898914,Woven
2006,India,62,5438100921,NA,N/A,5.438100921,Woven
2007,India,62,5243922990,NA,N/A,5.24392299,Woven
